group,kernel,tag,avl,size,rows,n,result,task_cycles,cyc_per_elem,cyc_per_macc,wall_cycles,eps,vec_busy,imem_outstanding,ep_ack,ep_vset_ack,vq_push,vq_pop,vq_max_occ,vq_bypass,vq_full_stall,dispatch_slots,dispatch_cycles,fsm_could_bypass,operand_wait_cyc,ara_backpressure,real_wait_stall,resp_meta_stall,resp_meta_max,ipu_ready_cyc,ipu_ready_stall,ipu_sram_stall,ipu_serve_cyc,packets,bypass_hits,demand_reads,avg_cyc_per_pkt,demand_ar,pf_ar,pf_hit,loads,pf_en_cyc,demand_aw,demand_B,pf_B,pf_ar_rob_full,pf_ar_lkup_full,pf_ar_pending,pf_ar_dis,pf_2nd,dem_rob_block,pf_disabled,pf_page_cross,pf_queue_full,pf_avl_low,seq_issue,seq_blocked,seq_raw,seq_war,seq_waw,seq_waw_block,seq_ep_bypass,seq_full,pf_hit_rate
avl,vsscal_hdv,,32,,,,PASSED,27,.843,,95,3,0,4,3,1,2,2,1,2,0,4,6,4,4,2,0,0,0,12,8,0,19,4,2,1,4,1,0,0,1,419,1,128,0,0,0,0,0,0,0,0,0,0,1,4,2,2,1,1,0,1,0,
avl,vsscal_hdv,,4096,,,,PASSED,4075,.994,,4143,384,0,0,384,128,509,509,7,3,0,512,766,6,512,3541,0,0,0,3631,3120,1,4047,511,130,2,7,132,131,131,128,4340,132,128,15872,0,0,127,0,4,0,0,0,0,0,512,3288,256,3033,128,0,192,0,1.000
avl,vsscal_hdv,,512,,,,PASSED,506,.988,,574,48,0,0,48,16,61,61,7,3,0,64,94,6,64,420,0,0,0,398,335,1,478,63,18,2,7,16,15,15,16,883,16,128,1920,0,0,15,0,0,0,0,0,0,0,64,391,32,360,16,0,24,0,1.000
avl,vsscal_hdv,,64,,,,PASSED,58,.906,,126,6,0,0,6,2,5,5,3,3,0,8,12,6,8,28,0,0,0,24,17,1,34,7,4,2,4,2,1,1,2,449,2,128,128,0,0,1,0,0,0,0,0,0,0,8,27,4,24,2,0,3,0,1.000
avl,vsswap_hdv,,1024,,,,PASSED,1351,1.319,,1419,128,0,0,96,32,158,158,8,2,280,160,534,4,160,1171,0,0,0,160,2,1,1304,158,94,1,8,64,64,64,64,1712,66,256,7824,0,0,62,0,2,1,0,0,0,0,192,1045,32,917,1,1,66,0,1.000
avl,vsswap_hdv,,128,,,,PASSED,167,1.304,,235,16,0,0,12,4,18,18,8,2,0,20,30,4,20,127,0,0,0,20,2,1,128,18,10,1,7,8,6,6,8,556,8,256,768,0,0,6,0,0,0,0,0,0,0,24,113,4,97,1,1,9,0,1.000
avl,vsswap_hdv,,2048,,,,PASSED,2694,1.315,,2762,256,0,0,192,64,318,318,8,2,599,320,1109,4,320,2354,0,0,0,320,2,1,2647,318,190,1,8,128,130,130,128,3023,132,256,15792,0,0,126,0,4,2,0,0,0,0,384,2100,64,1844,1,1,131,0,1.000
avl,vsswap_hdv,,256,,,,PASSED,335,1.308,,403,32,0,0,24,8,38,38,8,2,40,40,102,4,40,275,0,0,0,40,2,1,296,38,22,1,7,16,14,14,16,720,16,256,1792,0,0,14,0,0,0,0,0,0,0,48,245,8,213,1,1,17,0,1.000
avl,vsswap_hdv,,32,,,,PASSED,29,.906,,97,4,0,2,3,1,4,4,1,1,0,5,8,2,5,7,0,0,0,4,0,0,21,4,0,0,5,2,0,0,2,421,2,256,0,0,0,0,0,0,0,0,0,0,2,6,4,1,0,0,0,3,0,
avl,vsswap_hdv,,4096,,,,PASSED,5380,1.313,,5448,512,0,0,384,128,638,638,8,2,1237,640,2259,4,640,4720,0,0,0,640,2,1,5333,638,382,1,8,256,262,262,256,5645,264,256,31728,0,0,254,0,8,4,0,0,0,0,768,4210,128,3698,1,1,261,0,1.000
